"scenario","model","LY_High","LY_Low","LY_no_screening_High","LY_no_screening_Low","LY_no_pandemic_High","LY_no_pandemic_Low","n_crc_dth_High","n_crc_dth_Low","n_oc_dth_High","n_oc_dth_Low","n_crc_dth_no_screening_High","n_crc_dth_no_screening_Low","n_oc_dth_no_screening_High","n_oc_dth_no_screening_Low","n_crc_dth_no_pandemic_High","n_crc_dth_no_pandemic_Low","n_oc_dth_no_pandemic_High","n_oc_dth_no_pandemic_Low","LYG_no_pandemic_High","LYG_no_pandemic_Low","LYG_screening_High","LYG_screening_Low","LY_lost_pandemic_High","LY_lost_pandemic_Low","perc_LYG_loss_High","perc_LYG_loss_Low"
"U50 | C3m","CRCSPIN",31891.689277115,31867.4529348769,31594.6732261217,31594.6732261217,31893.26467713,31867.299842706,5.7873,8.0502,994.1994,991.9375,30.376,30.376,969.624,969.624,5.7969,8.1686,994.1892,991.818,298.591451008298,272.626616584315,297.016050993319,272.779708755133,1.5754000149791,-0.153092170818127,0.527610556048811,-0.0561545210574771
"U50 | C3m","MISCAN",31424.4623906768,31401.3762646102,31155.5167967565,31155.5167967565,31427.7302629042,31404.7126809242,8.69691333594774,10.7867389012236,969.448149524972,967.465923101546,32.317577415831,32.317577415831,946.958327402869,946.958327402869,8.55878606548073,10.6099760319158,969.585776334314,967.640984403029,272.213466147725,249.195884167686,268.945593920253,245.859467853683,3.26787222747225,3.33641631400315,1.20048147276404,1.33887296138408
"U50 | C9m","CRCSPIN",31890.0446046837,31865.5158282768,31594.6732261217,31594.6732261217,31893.26467713,31867.299842706,5.7588,8.0304,994.225,991.9563,30.376,30.376,969.624,969.624,5.7969,8.1686,994.1892,991.818,298.591451008298,272.626616584315,295.371378562024,270.842602155102,3.22007244627457,1.78401442921313,1.07842084406666,0.654380137774034
"U50 | C9m","MISCAN",31423.1059916007,31400.04943561,31155.5167967565,31155.5167967565,31427.7302629042,31404.7126809242,8.67549359980286,10.7456009967584,969.462062344244,967.496451230163,32.317577415831,32.317577415831,946.958327402869,946.958327402869,8.55878606548073,10.6099760319158,969.585776334314,967.640984403029,272.213466147725,249.195884167686,267.589194844131,244.532638853438,4.62427130359356,4.66324531424834,1.69876654856011,1.87131714868549
"U50 | C18m","CRCSPIN",31885.8984587761,31861.2698261098,31594.6732261217,31594.6732261217,31893.26467713,31867.299842706,5.8816,8.1869,994.1046,991.8005,30.376,30.376,969.624,969.624,5.7969,8.1686,994.1892,991.818,298.591451008298,272.626616584315,291.225232654389,266.596599988035,7.36621835390906,6.03001659627989,2.46698903435931,2.21182240818185
"U50 | C18m","MISCAN",31421.4482405889,31397.8500123614,31155.5167967565,31155.5167967565,31427.7302629042,31404.7126809242,8.63325468086295,10.7280848573876,969.493791579562,967.512365893935,32.317577415831,32.317577415831,946.958327402869,946.958327402869,8.55878606548073,10.6099760319158,969.585776334314,967.640984403029,272.213466147725,249.195884167686,265.931443832364,242.333215604867,6.28202231536125,6.86266856281873,2.30775589623186,2.75392532494669
"U50 | C@65","CRCSPIN",31766.2090441365,31750.6027530362,31594.6732261217,31594.6732261217,31893.26467713,31867.299842706,11.5782,13.4172,988.41,986.5744,30.376,30.376,969.624,969.624,5.7969,8.1686,994.1892,991.818,298.591451008298,272.626616584315,171.535818014814,155.929526914442,127.055632993484,116.697089669873,42.5516646790913,42.8047309290442
"U50 | C@65","MISCAN",31323.8096276809,31310.9606143,31155.5167967565,31155.5167967565,31427.7302629042,31404.7126809242,13.4447880276887,14.9644882795007,964.784452394436,963.356736897377,32.317577415831,32.317577415831,946.958327402869,946.958327402869,8.55878606548073,10.6099760319158,969.585776334314,967.640984403029,272.213466147725,249.195884167686,168.292830924423,155.443817543495,103.920635223301,93.7520666241908,38.1761551674691,37.6218359052448
"U50 | F3m","CRCSPIN",31864.7113250752,31842.8732018153,31594.6732261217,31594.6732261217,31865.5363291998,31843.2284192559,8.1388,10.2162,991.8489,989.7754,30.376,30.376,969.624,969.624,8.113,10.2906,991.8767,989.701,270.863103078067,248.555193134209,270.038098953501,248.199975693537,0.825004124566476,0.355217440672277,0.304583428008907,0.14291290243953
"U50 | F3m","MISCAN",31414.4303275238,31397.1230600275,31155.5167967565,31155.5167967565,31415.8212609098,31398.3952949948,10.1933921915653,11.8750416633886,968.083392037423,966.501034052776,32.317577415831,32.317577415831,946.958327402869,946.958327402869,10.1847842602174,11.8379074479225,968.102609744618,966.542972695041,260.304464153283,242.878498238297,258.913530767259,241.606263270991,1.3909333860247,1.27223496730585,0.534348648437174,0.523815395983556
"U50 | F9m","CRCSPIN",31862.2316979287,31841.0209257355,31594.6732261217,31594.6732261217,31865.5363291998,31843.2284192559,8.1156,10.1957,991.8739,989.7952,30.376,30.376,969.624,969.624,8.113,10.2906,991.8767,989.701,270.863103078067,248.555193134209,267.55847180702,246.34769961374,3.30463127104667,2.20749352046914,1.22003744086703,0.888130114134125
