"COL Sens","Scenario","Model","LY","LY No Screening","LY No Pandemic","LYG No Pandemic","LYG Screening","LY Lost Pandemic","Perc LYG Loss"
"High","U50 | C3m","CRCSPIN",31892,31595,31893,299,297,2,1
"High","U50 | C3m","MISCAN",31424,31156,31428,272,269,3,1
"High","U50 | C9m","CRCSPIN",31890,31595,31893,299,295,3,1
"High","U50 | C9m","MISCAN",31423,31156,31428,272,268,5,2
"High","U50 | C18m","CRCSPIN",31886,31595,31893,299,291,7,2
"High","U50 | C18m","MISCAN",31421,31156,31428,272,266,6,2
"High","U50 | C@65","CRCSPIN",31766,31595,31893,299,172,127,43
"High","U50 | C@65","MISCAN",31324,31156,31428,272,168,104,38
"High","U50 | F3m","CRCSPIN",31865,31595,31866,271,270,1,0
"High","U50 | F3m","MISCAN",31414,31156,31416,260,259,1,1
"High","U50 | F9m","CRCSPIN",31862,31595,31866,271,268,3,1
"High","U50 | F9m","MISCAN",31413,31156,31416,260,258,2,1
"High","U50 | F18m","CRCSPIN",31858,31595,31866,271,264,7,3
"High","U50 | F18m","MISCAN",31411,31156,31416,260,256,5,2
"High","U60 | C3m","CRCSPIN",23440,23218,23438,220,222,-3,-1
"High","U60 | C3m","MISCAN",23139,22950,23144,194,189,5,3
"High","U60 | C9m","CRCSPIN",23435,23218,23438,220,218,2,1
"High","U60 | C9m","MISCAN",23136,22950,23144,194,186,8,4
"High","U60 | C18m","CRCSPIN",23428,23218,23438,220,210,9,4
"High","U60 | C18m","MISCAN",23131,22950,23144,194,180,14,7
"High","U60 | C@65","CRCSPIN",23393,23218,23438,220,175,45,20
"High","U60 | C@65","MISCAN",23103,22950,23144,194,152,42,21
"High","U60 | F3m","CRCSPIN",23410,23218,23408,190,192,-2,-1
"High","U60 | F3m","MISCAN",23123,22950,23126,176,173,3,1
"High","U60 | F9m","CRCSPIN",23406,23218,23408,190,188,2,1
"High","U60 | F9m","MISCAN",23120,22950,23126,176,170,6,3
"High","U60 | F18m","CRCSPIN",23400,23218,23408,190,182,8,4
"High","U60 | F18m","MISCAN",23115,22950,23126,176,165,11,6
"High","C60 | C3m","CRCSPIN",23483,23185,23482,298,298,0,0
"High","C60 | C3m","MISCAN",23163,22924,23165,241,239,2,1
"High","C60 | C9m","CRCSPIN",23483,23185,23482,298,298,0,0
"High","C60 | C9m","MISCAN",23163,22924,23165,241,239,2,1
"High","C60 | C18m","CRCSPIN",23482,23185,23482,298,297,0,0
"High","C60 | C18m","MISCAN",23161,22924,23165,241,238,3,1
"High","C60 | F3m","CRCSPIN",23474,23185,23483,298,289,9,3
"High","C60 | F3m","MISCAN",23155,22924,23165,241,232,10,4
"High","C60 | F9m","CRCSPIN",23473,23185,23483,298,288,9,3
"High","C60 | F9m","MISCAN",23155,22924,23165,241,232,9,4
"High","C60 | F18m","CRCSPIN",23473,23185,23482,298,288,9,3
"High","C60 | F18m","MISCAN",23154,22923,23165,241,230,11,4
"High","C60 | C@65","CRCSPIN",23479,23185,23483,298,294,3,1
"High","C60 | C@65","MISCAN",23154,22924,23165,241,230,11,5
"High","C60 | U","CRCSPIN",23377,23185,23483,298,192,106,36
"High","C60 | U","MISCAN",23041,22924,23165,241,117,124,51
"High","F60 | F3m","CRCSPIN",23457,23190,23460,270,267,3,1
"High","F60 | F3m","MISCAN",23157,22925,23157,231,231,0,0
"High","F60 | F9m","CRCSPIN",23456,23189,23460,270,267,3,1
"High","F60 | F9m","MISCAN",23156,22925,23156,231,231,0,0
"High","F60 | F18m","CRCSPIN",23454,23189,23460,270,265,5,2
"High","F60 | F18m","MISCAN",23156,22925,23157,231,231,1,0
"High","F60 | U","CRCSPIN",23349,23189,23460,270,160,111,41
"High","F60 | U","MISCAN",23064,22925,23156,231,139,92,40
"High","f60 | F3m","CRCSPIN",23440,23194,23442,247,245,2,1
"High","f60 | F3m","MISCAN",23145,22930,23147,217,215,2,1
"High","f60 | F9m","CRCSPIN",23438,23194,23442,247,244,4,1
"High","f60 | F9m","MISCAN",23145,22931,23147,217,214,3,1
"High","f60 | F18m","CRCSPIN",23436,23194,23442,247,241,6,3
"High","f60 | F18m","MISCAN",23143,22931,23147,217,212,5,2
"High","f60 | U","CRCSPIN",23299,23194,23442,247,105,142,58
"High","f60 | U","MISCAN",22998,22930,23147,217,68,149,69
"High","U70 | C3m","CRCSPIN",15849,15725,15851,126,124,3,2
"High","U70 | C3m","MISCAN",15550,15444,15559,115,106,9,8
"High","U70 | C9m","CRCSPIN",15843,15725,15851,126,118,8,6
"High","U70 | C9m","MISCAN",15546,15444,15559,115,101,14,12
"High","U70 | C18m","CRCSPIN",15836,15725,15851,126,111,15,12
"High","U70 | C18m","MISCAN",15539,15444,15559,115,95,20,18
"High","U70 | C@75","CRCSPIN",15803,15725,15851,126,78,49,39
"High","U70 | C@75","MISCAN",15509,15444,15559,115,65,50,43
"High","U70 | F3m","CRCSPIN",15817,15725,15819,94,92,2,2
"High","U70 | F3m","MISCAN",15527,15444,15534,90,83,7,8
"High","U70 | F9m","CRCSPIN",15814,15725,15819,94,88,5,6
